SalTime,VoucherTypeName,VchNo,Date,EffectiveDate,ReferenceDate,Agent,StateBuyer,CostCentreName,Cancel,Refund,CustomerName,MailingName,CustomerWebID,CustomerTallyID,BillingAddress,ConsigneeName,ShippingAddress,BillingPinCode,ShippingPinCode,BillingPhoneNo,ShippingPhoneNo,TotalAmount,SalesTallyID,WebID,Action,BillingState,BillingCountry,ShippingState,ShippingCountry,Ledgerdetails,StockItem,DebitorCredit,BilledQty,AcutalQty,Rate,Discount,Amount,AccountingAllocations,BatchName,GodownName,BatchBilledQty,BatchActualQty,BatchRate,BatchDiscount,Narration
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-5152.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,687.00 cft,687.00 cft,7.50/cft,0,
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-5182.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,691.00 cft,691.00 cft,7.50/cft,0,
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-5182.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,691.00 cft,691.00 cft,7.50/cft,0,
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-7447.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,993.00 cft,993.00 cft,7.50/cft,0,
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-5152.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,687.00 cft,687.00 cft,7.50/cft,0,
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-5182.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,691.00 cft,691.00 cft,7.50/cft,0,
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-5182.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,691.00 cft,691.00 cft,7.50/cft,0,
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-7447.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,993.00 cft,993.00 cft,7.50/cft,0,
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-5182.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,691.00 cft,691.00 cft,7.50/cft,0,
NULL,GRN - AP,GR/AP/11/25-26,1-Apr-25,1-Apr-25,1-Apr-25,NDDB Tirupati,NULL,NDDB Tirupati,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,133095.12,489,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 133095.12, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 133095.12}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 3168.94}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,16901.00 cft,16901.00 cft,7.50/cft,0,-5152.5,"[{'LedgerName': 'Soil', 'Amount': -126757.5}]",Primary Batch,NDDB-Tirupati,687.00 cft,687.00 cft,7.50/cft,0,
