SalTime,VoucherTypeName,VchNo,Date,EffectiveDate,Narration,StateBuyer,Cancel,Refund,CustomerName,MailingName,CustomerWebID,CustomerTallyID,BillingAddress,ConsigneeName,ShippingAddress,BillingPinCode,ShippingPinCode,BillingPhoneNo,ShippingPhoneNo,TotalAmount,SalesTallyID,WebID,Action,BillingState,BillingCountry,ShippingState,ShippingCountry,Ledgerdetails,StockItem,DebitorCredit,BilledQty,AcutalQty,Rate,Discount,Amount,AccountingAllocations,BatchName,GodownName,BatchBilledQty,BatchActualQty,BatchRate,BatchDiscount,Agent,CostCentreName
NULL,Purchase Order,PO/AP/3/25-26,1-Apr-25,1-Apr-25,Being Steel delivery at NDDB Site Tirupati.,NULL,NULL,REFUNDED,Rudhra & Senthil Steel Distributors -Chennai,Rudhra & Senthil Steel Distributors -Chennai,NULL,NULL,"PRS Complex, 94 & 92,, Rasappa Chetty Street,, Parktown - Chennai - 600 003",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",600 003,517502,NULL,NULL,1736370.0,211,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Rudhra & Senthil Steel Distributors -Chennai', 'DebitorCredit': 'CR', 'Amount': 1736370.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 1736370.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 264870.0}]",Steel Reinforcement Rod 8mm Dia,DR,14.000 Ton,14.000 Ton,59700.00/Ton,0,-835800.0,"[{'LedgerName': 'Iron & Steel', 'Amount': -835800.0}]",Primary Batch,NDDB-Tirupati,14.000 Ton,14.000 Ton,59700.00/Ton,0,,
NULL,Purchase Order,PO/AP/3/25-26,1-Apr-25,1-Apr-25,Being Steel delivery at NDDB Site Tirupati.,NULL,NULL,REFUNDED,Rudhra & Senthil Steel Distributors -Chennai,Rudhra & Senthil Steel Distributors -Chennai,NULL,NULL,"PRS Complex, 94 & 92,, Rasappa Chetty Street,, Parktown - Chennai - 600 003",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",600 003,517502,NULL,NULL,1736370.0,211,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Rudhra & Senthil Steel Distributors -Chennai', 'DebitorCredit': 'CR', 'Amount': 1736370.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 1736370.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 264870.0}]",Steel Reinforcement Rod 10mm Dia,DR,2.000 Ton,2.000 Ton,58200.00/Ton,0,-116400.0,"[{'LedgerName': 'Iron & Steel', 'Amount': -116400.0}]",Primary Batch,NDDB-Tirupati,2.000 Ton,2.000 Ton,58200.00/Ton,0,,
NULL,Purchase Order,PO/AP/3/25-26,1-Apr-25,1-Apr-25,Being Steel delivery at NDDB Site Tirupati.,NULL,NULL,REFUNDED,Rudhra & Senthil Steel Distributors -Chennai,Rudhra & Senthil Steel Distributors -Chennai,NULL,NULL,"PRS Complex, 94 & 92,, Rasappa Chetty Street,, Parktown - Chennai - 600 003",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",600 003,517502,NULL,NULL,1736370.0,211,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Rudhra & Senthil Steel Distributors -Chennai', 'DebitorCredit': 'CR', 'Amount': 1736370.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 1736370.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 264870.0}]",Steel Reinforcement Rod 16mm Dia,DR,9.000 Ton,9.000 Ton,57700.00/Ton,0,-519300.0,"[{'LedgerName': 'Iron & Steel', 'Amount': -519300.0}]",Primary Batch,NDDB-Tirupati,9.000 Ton,9.000 Ton,57700.00/Ton,0,,
NULL,Purchase Order,PO/AP/4/25-26,1-Apr-25,1-Apr-25,Being Steel delivery at COC Site Tirupati.,NULL,NULL,REFUNDED,VPS Enterprises -  Chennai (MSME),VPS Enterprises -  Chennai (MSME),NULL,NULL,"No.108,Devakiammal Street,, Rajiv Nager, Pallikuppam,, Chennai - 77. Ph No: 98000 79065, Email Vpsvethiyal@gmail.Com","R.R.Thulasi Builders (I) Pvt Ltd.,","Tirupathi Smart City Corporation Limited (TSCCL), C/o.Tirupati Municipal Corporation, 13-29-M9-1-00, Tilak Road, East Tirupati, Chittoor District, Andhra Pradesh - 517501.",600 077,517501,044-32562200,NULL,61950.0,212,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'VPS Enterprises -  Chennai (MSME)', 'DebitorCredit': 'CR', 'Amount': 61950.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 61950.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 9450.0}]",Concrete Admixer Oil,DR,1000.000 Ltrs,1000.000 Ltrs,52.50/Ltrs,0,-52500.0,"[{'LedgerName': 'Admixer Oil', 'Amount': -52500.0}]",Primary Batch,COC-Tirupati,1000.000 Ltrs,1000.000 Ltrs,52.50/Ltrs,0,,
NULL,Purchase Order,PO/AP/10/25-26,1-Apr-25,1-Apr-25,,NULL,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505",R.R.Thulasi Builders (I) Pvt Ltd,"S.V.Gosamrakshana Shalai,, Chandragiri Road,, Tirumala Tirupati Devasthanam, Tirupati -517502, E-Mail : rrthulasi@gmail.com",517505,517502,NULL,NULL,1049501.0,340,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 1049501.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 1049501.0}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 24988.13}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 24988.13}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.26}]",Soil (Cft),DR,133270.00 CFT,133270.00 CFT,7.50/CFT,0,-999525.0,"[{'LedgerName': 'Soil', 'Amount': -999525.0}]",Primary Batch,NDDB-Tirupati,133270.00 CFT,133270.00 CFT,7.50/CFT,0,NDDB Tirupati,NDDB Tirupati
NULL,Purchase Order,PO/AP/11/25-26,1-Apr-25,1-Apr-25,Being Material Delivery At COC - Tirupathi,NULL,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505","R.R.Thulasi Builders (I) Pvt Ltd.,","No. 12-64-2A, Swamy Street Extention, Puttur, Chittoor Dist - 517583., E-Mail : rrthulasi@gmail.com",517505,517583,NULL,NULL,621847.0,356,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 621847.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 621847.0}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 14805.88}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 14805.88}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.24}]",20mm Metal - CFT,DR,16921.00 CFT,16921.00 CFT,35.00/CFT,0,-592235.0,"[{'LedgerName': 'Blue Metal', 'Amount': -592235.0}]",Primary Batch,COC-Tirupati,16921.00 CFT,16921.00 CFT,35.00/CFT,0,COC Tirupati,COC Tirupati
NULL,Purchase Order,PO/AP/12/25-26,1-Apr-25,1-Apr-25,Being Material Delivery At COC - Tirupathi,NULL,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505","R.R.Thulasi Builders (I) Pvt Ltd.,","No. 12-64-2A, Swamy Street Extention, Puttur, Chittoor Dist - 517583., E-Mail : rrthulasi@gmail.com",517505,517583,NULL,NULL,481404.0,358,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 481404.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 481404.0}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 11462.0}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 11462.0}]",12 mm Metal - CFT,DR,16672.00 CFT,16672.00 CFT,27.50/CFT,0,-458480.0,"[{'LedgerName': 'Blue Metal', 'Amount': -458480.0}]",Primary Batch,,16672.00 CFT,16672.00 CFT,27.50/CFT,0,COC Tirupati,COC Tirupati
NULL,Purchase Order,PO/AP/13/25-26,1-Apr-25,1-Apr-25,Being Material Delivery At COC - Tirupathi,NULL,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505","R.R.Thulasi Builders (I) Pvt Ltd.,","No. 12-64-2A, Swamy Street Extention, Puttur, Chittoor Dist - 517583., E-Mail : rrthulasi@gmail.com",517505,517583,NULL,NULL,207496.0,359,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 207496.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 207496.0}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 4940.48}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 4940.48}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 3.96}]",Nice Sand (Cft),DR,3467.00 CFT,3467.00 CFT,57.00/CFT,0,-197619.0,"[{'LedgerName': 'Sand', 'Amount': -197619.0}]",Primary Batch,COC-Tirupati,3467.00 CFT,3467.00 CFT,57.00/CFT,0,COC Tirupati,COC Tirupati
NULL,Purchase Order,PO/AP/14/25-26,1-Apr-25,1-Apr-25,Being Material Delivery At COC - Tirupathi,NULL,NULL,REFUNDED,Sri Lakshmi Srinivasa Transport,Sri Lakshmi Srinivasa Transport,NULL,NULL,"D.NO.8-67,Gandhi Nagar,, Mallavarm Villiage,, Tirupati Dist - 517505","R.R.Thulasi Builders (I) Pvt Ltd.,","No. 12-64-2A, Swamy Street Extention, Puttur, Chittoor Dist - 517583., E-Mail : rrthulasi@gmail.com",517505,517583,NULL,NULL,374926.0,361,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Lakshmi Srinivasa Transport', 'DebitorCredit': 'CR', 'Amount': 374926.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 374926.0}]}, {'Ledgername': 'Input - CGST', 'DebitorCredit': 'DR', 'Amount': 8926.8}, {'Ledgername': 'Input - SGST', 'DebitorCredit': 'DR', 'Amount': 8926.8}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.4}]",Sand (Cft),DR,14878.00 CFT,14878.00 CFT,24.00/CFT,0,-357072.0,"[{'LedgerName': 'Sand', 'Amount': -357072.0}]",Primary Batch,COC-Tirupati,14878.00 CFT,14878.00 CFT,24.00/CFT,0,COC Tirupati,COC Tirupati
NULL,Purchase Order,PO/AP/15/25-26,1-Apr-25,1-Apr-25,Being Material Delivery At COC - Tirupathi,NULL,NULL,REFUNDED,K.Sudhakar Naidu (URD),K.Sudhakar Naidu (URD),NULL,NULL,Tirupathi,"R.R.Thulasi Builders (I) Pvt Ltd.,","No. 12-64-2A, Swamy Street Extention, Puttur, Chittoor Dist - 517583., E-Mail : rrthulasi@gmail.com",NULL,517583,NULL,NULL,285600.0,362,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'K.Sudhakar Naidu (URD)', 'DebitorCredit': 'CR', 'Amount': 285600.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 285600.0}]}]",Sand (Cft),DR,11900.00 CFT,11900.00 CFT,24.00/CFT,0,-285600.0,"[{'LedgerName': 'Sand', 'Amount': -285600.0}]",Primary Batch,COC-Tirupati,11900.00 CFT,11900.00 CFT,24.00/CFT,0,COC Tirupati,COC Tirupati
